project_id,account_id,project_name,project_description,user_id,deadline,bill_rate,dept_id,office_id,billed_date,paid_date,due_date,hours_billed,billed_amount,paid_amount
21,120,POW - Business Startegy,Business strategy project for scaling operations,16,11/30/22,1200,4,3,12/1/22,12/6/22,1/1/23,600,720000,720000
22,100,Boston Red Sox - P&L Dashboard,Profit and Loss dashboard to track expenses and revenue,8,1/22/19,500,4,1,3/23/19,3/24/19,4/23/19,500,250000,243000
23,101,Chicago Bulls - ERP ,Enterprise Resourse Planning application to manage firm,11,8/12/19,300,4,2,8/13/19,9/1/19,9/13/19,200,60000,60000
24,104,Palisades Tahoe - Business Strategy ,Business strategy project for scaling operations,18,12/28/19,200,4,4,12/20/19,1/27/20,1/20/20,400,80000,74000
25,100,Boston Red Sox - ERP ,Enterprise Resourse Planning application to manage firm,8,11/30/19,1000,4,1,12/1/19,11/30/19,1/1/20,350,350000,350000
26,104,Palisades Tahoe - Employee Mgmt Apps,Applications for managing employees at scale,18,3/17/19,200,4,4,3/18/19,3/4/19,4/18/19,180,36000,36000
27,105,Botanical Growers - Operations Apps,Application for operational efficiency ,18,12/20/19,400,4,4,10/20/19,11/20/19,11/20/19,300,120000,120000
28,106,Olympic Logistics - Business Strategy,Business strategy project for scaling operations,18,1/22/20,1000,4,4,1/23/20,2/26/20,2/23/20,100,100000,100000
29,115,National Grid - Solor Sales Dashboard ,Dashboard to track solar sales,8,6/19/20,400,4,1,6/20/20,7/22/20,7/20/20,200,80000,80000
30,108,OTIS - CRM,Customer relationship management application,8,10/23/20,900,4,1,10/14/20,12/1/20,11/14/20,500,450000,415000
31,115,National Grid - CRM,Customer relationship management application,8,12/2/20,700,4,1,12/3/20,,1/3/21,300,210000,210000
32,110,Polar - Logistics Apps,Several applications for operations management ,8,1/11/21,500,4,1,1/12/21,1/31/21,2/12/21,200,100000,100000
33,111,Steamboat Springs - Business Strategy,Business strategy project for scaling operations,16,1/12/21,600,4,3,1/13/21,3/15/22,2/13/21,100,60000,60000
34,100,Boston Red Sox - Business Strategy,Business strategy project for scaling operations,8,2/13/21,700,4,1,2/14/21,2/16/21,3/14/21,200,140000,140000
35,113,Rothman Group - ERP,Enterprise Resourse Planning application to manage firm,8,3/14/21,200,4,1,3/15/21,4/15/21,4/15/21,600,120000,120000
36,114,Franklin Distribution - Business Strategy,Business strategy project for scaling operations,11,4/15/21,100,4,2,4/16/21,5/10/21,5/16/21,500,50000,45000
37,115,National Grid - Electric Sales Dashboard,Dashboard to track electric sales,8,5/16/21,1000,4,1,5/17/21,5/20/21,6/17/21,200,200000,200000
38,104,Palisades Tahoe - Consumer Apps,Apps for consumer management and engagement,18,6/17/21,600,4,4,6/18/21,7/8/21,7/18/21,400,240000,240000
39,115,National Grid - Branch P&L Dashboards,P&L Dashboards to track branch performance,8,7/18/21,2000,4,1,7/19/21,7/20/21,8/19/21,900,1800000,1800000
40,100,Boston Red Sox - Consumer Statistics Dashboard,Dashboard to track useful consumer stats for decision making,8,8/19/21,1000,4,1,8/20/21,8/30/21,9/20/21,300,300000,300000
41,119,Boost Media Group - CRM Dashboard,Dashboard to track sales and marketing interations,8,9/20/21,300,4,1,9/21/21,10/24/21,10/21/21,200,60000,58000
42,100,Boston Red Sox - Operations Apps,Application for operational efficiency ,8,10/21/21,1000,4,1,10/22/21,11/22/21,11/22/21,100,100000,100000
